District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
4,Kargil,140802,214,235,Jammu and Kashmir,33.565994894894914,76.63675315315312,61.0,81.0
5,Punch,476835,629,346,Jammu and Kashmir,33.791241290322574,74.29593161290322,55.0,89.0
7,Kathua,616435,936,1443,Jammu and Kashmir,32.51781678321678,75.58901398601404,63.0,89.0
10,Srinagar,1236829,3099,16413,Jammu and Kashmir,34.27312898550724,75.11021159420288,61.0,90.0
12,Pulwama,560440,1068,1537,Jammu and Kashmir,33.88414418604652,75.00921860465118,52.0,91.0
16,Doda,409936,1103,596,Jammu and Kashmir,33.359614675767915,76.07163720136518,53.0,92.0
19,Udhampur,554985,1278,1214,Jammu and Kashmir,33.04770670731707,75.15286951219511,58.0,87.0
21,Jammu,1529958,3525,19905,Jammu and Kashmir,32.713199095022645,74.8477520361991,74.0,88.0
23,Chamba,519080,950,1615,Himachal Pradesh,32.66741814595661,76.39354063116366,62.0,99.0
24,Kangra,1510075,2878,8053,Himachal Pradesh,32.14093603238864,76.41205910931173,76.0,101.0
26,Kullu,437903,854,2623,Himachal Pradesh,31.90911922077925,77.40922649350647,70.0,94.0
27,Mandi,999777,1842,5333,Himachal Pradesh,31.635805940594054,76.96556930693067,72.0,101.0
28,Hamirpur,454768,878,2521,Himachal Pradesh,31.67668481012659,76.49767088607594,79.0,110.0
28,Hamirpur,454768,878,2521,Uttar Pradesh,25.738158381502892,79.82619479768789,79.0,110.0
168,Hamirpur,1104285,1291,1196,Himachal Pradesh,31.67668481012659,76.49767088607594,59.0,86.0
168,Hamirpur,1104285,1291,1196,Uttar Pradesh,25.738158381502892,79.82619479768789,59.0,86.0
29,Una,521173,987,2412,Himachal Pradesh,31.58330388349513,76.18353932038836,77.0,98.0
30,Bilaspur,381956,3666,1574,Chhattisgarh,22.356942982456143,81.99770350877188,75.0,98.0
30,Bilaspur,381956,3666,1574,Himachal Pradesh,31.3780422907489,76.65316079295157,75.0,98.0
406,Bilaspur,2663629,2981,8566,Chhattisgarh,22.356942982456143,81.99770350877188,60.0,97.0
406,Bilaspur,2663629,2981,8566,Himachal Pradesh,31.3780422907489,76.65316079295157,60.0,97.0
31,Solan,580320,1253,5250,Himachal Pradesh,31.03864311926604,76.94442140672783,74.0,88.0
32,Sirmaur,529855,930,2220,Himachal Pradesh,30.682764453961443,77.43184689507493,68.0,92.0
33,Shimla,814010,1668,9177,Himachal Pradesh,31.155725451807253,77.62573042168668,75.0,92.0
34,Kinnaur,84121,181,354,Himachal Pradesh,31.60667184065933,78.51613736263741,72.0,82.0
35,Gurdaspur,2298323,5982,14428,Punjab,32.04283371212125,75.3204064393939,71.0,90.0
36,Kapurthala,815168,2472,9732,Punjab,31.336592638036837,75.47641165644177,71.0,91.0
37,Jalandhar,2193590,6883,39082,Punjab,31.250336907216507,75.54400350515463,74.0,92.0
38,Hoshiarpur,1586625,4305,13747,Punjab,31.55157169811319,75.8469857442349,76.0,96.0
40,Fatehgarh Sahib,600163,1640,5138,Punjab,30.64290947368421,76.36208394736842,71.0,87.0
41,Ludhiana,3498739,10593,58589,Punjab,30.76596397379912,75.83110851528383,73.0,87.0
42,Moga,995746,2774,7897,Punjab,30.756540067340065,75.1600845117845,63.0,89.0
43,Firozpur,2029074,4283,10042,Punjab,30.63407535211269,74.40245732394365,60.0,89.0
44,Muktsar,901896,2025,4571,Punjab,30.31243303303303,74.5518747747748,58.0,90.0
45,Faridkot,617508,1540,4348,Punjab,30.591187250996025,74.79751553784862,62.0,89.0
46,Bathinda,1388525,3365,11284,Punjab,30.190524611973352,75.05685898004438,61.0,87.0
47,Mansa,769751,1694,2673,Punjab,29.919547714285724,75.4304922857143,55.0,88.0
